bin,source,seed,expert,n,predicted_reliability,observed_accuracy
4.0,Te0,44,temporal,4597,0.9969860579032176,0.999347400478573
5.0,Te0,44,temporal,4597,0.9982921848774322,0.999782466826191
6.0,Te0,44,temporal,4597,0.9990484499799476,1.0
7.0,Te0,44,temporal,4597,0.9993745548482473,1.0
8.0,Te0,44,temporal,4597,0.9994561502377782,1.0
9.0,Te0,44,temporal,4597,0.9994570575543632,1.0
0.0,Te0,44,cwt,4597,0.13861622932842582,0.925821187731129
1.0,Te0,44,cwt,4597,0.29881340196347395,0.8398955840765717
2.0,Te0,44,cwt,4597,0.8537556032851904,0.7609310419839025
3.0,Te0,44,cwt,4597,0.9777452440956589,0.9186425929954318
4.0,Te0,44,cwt,4597,0.9925714322937869,0.963889493147705
5.0,Te0,44,cwt,4597,0.9969321975093484,0.9538829671524908
6.0,Te0,44,cwt,4597,0.9983169900176881,0.9932564716119208
7.0,Te0,44,cwt,4597,0.9990224324711895,0.999564933652382
8.0,Te0,44,cwt,4597,0.9993976911162572,1.0
9.0,Te0,44,cwt,4597,0.999456913633584,1.0
0.0,Te0,45,temporal,4597,0.27567790082379495,0.8916684794431151
1.0,Te0,45,temporal,4597,0.9463598841998596,0.9197302588644768
2.0,Te0,45,temporal,4597,0.9911644589100098,0.9688927561453121
3.0,Te0,45,temporal,4597,0.9965553457209602,0.9836850119643246
4.0,Te0,45,temporal,4597,0.9985008072753576,0.9854252773547966
5.0,Te0,45,temporal,4597,0.9993853686029464,0.9849902110071785
6.0,Te0,45,temporal,4597,0.9997658218209916,0.9780291494452904
7.0,Te0,45,temporal,4597,0.9999186861003877,0.9849902110071785
8.0,Te0,45,temporal,4597,0.9999777618053632,0.9965194692190559
9.0,Te0,45,temporal,4597,0.9999981010593646,1.0
0.0,Te0,45,cwt,4597,0.048088275887067905,0.9956493365238199
1.0,Te0,45,cwt,4597,0.07528768179108564,0.9926038720904938
2.0,Te0,45,cwt,4597,0.1805645403261856,0.8951490102240591
3.0,Te0,45,cwt,4597,0.9388518147234032,0.8459865129432238
4.0,Te0,45,cwt,4597,0.9874132558235532,0.9514901022405917
5.0,Te0,45,cwt,4597,0.9924636632513992,0.9721557537524472
6.0,Te0,45,cwt,4597,0.9950186852296745,0.9891233413095497
7.0,Te0,45,cwt,4597,0.9966381336250534,0.9956493365238199
8.0,Te0,45,cwt,4597,0.9975832793091558,0.999347400478573
9.0,Te0,45,cwt,4597,0.9981308951862473,1.0
0.0,Te0,46,temporal,4597,0.7838185834025344,0.8288013922123124
1.0,Te0,46,temporal,4597,0.9941202484792815,0.961931694583424
2.0,Te0,46,temporal,4597,0.9967545092809968,0.9906460735262127
3.0,Te0,46,temporal,4597,0.9977768487724868,0.9949967370023929
4.0,Te0,46,temporal,4597,0.9983948948521992,0.998042201435719
