seed,split,method,threshold,mcc,accuracy,precision,recall_pd,specificity,f1,pr_auc,roc_auc,brier,ece_10_bins,tn,fp,fn,tp,errors
43,validation,oracle,0.5,0.9775508390189743,0.9886523462472829,0.9998692041069911,0.9774325533819205,0.9998721391126455,0.9885235832282675,0.9885884325272847,0.988652346247283,0.011347653752717044,0.011347653752717018,15640,2,353,15289,355
43,test_confirmatory,temporal,0.14999999999999997,0.9699413887347494,0.9849131252711399,0.9925014619408077,0.9772092530432644,0.9926169974990154,0.9847959955636099,0.9973598397008175,0.9965417107369321,0.0181136951406874,0.014363961039041513,496510,3693,11400,488803,15093
43,test_confirmatory,cwt,0.09,0.9825571010692339,0.9912785409123895,0.9911813264788067,0.9913775007347018,0.9911795810900774,0.99127940390103,0.9994781304905895,0.9993890624819692,0.012501865236153332,0.01491415464861271,495791,4412,4313,495890,8725
43,test_confirmatory,fixed_50_50,0.16499999999999998,0.985011666933984,0.9924970461992431,0.995456693784379,0.9895102588349131,0.9954838335635732,0.9924745693380308,0.999442130592932,0.9993294983019018,0.012271911520910731,0.02077412486559905,497944,2259,5247,494956,7506
43,test_confirmatory,best_fixed,0.13999999999999999,0.9856104656649607,0.9928009228253329,0.9948706212069197,0.990709771832636,0.9948920738180299,0.9927858369210489,0.999548747772997,0.999467831356659,0.011681275269853979,0.018762163715048987,497648,2555,4647,495556,7202
43,test_confirmatory,adaptive,0.15499999999999997,0.9852763272132335,0.9926299922231574,0.9954838112932869,0.9897501614344576,0.9955098230118572,0.992608706548708,0.9994550740368306,0.9993422157652252,0.00965687145257128,0.01574223816847832,497957,2246,5127,495076,7373
43,test_confirmatory,conservative,0.11499999999999999,0.9853630155247884,0.9926809715255607,0.9934089475739041,0.991943271031961,0.9934186720191602,0.9926755682886719,0.9995467746369397,0.9994660135050543,0.009866151296706987,0.015203906864798476,496911,3292,4030,496173,7322
43,test_confirmatory,oracle,0.5,0.9811797554688036,0.9905028558405288,0.9999184974184058,0.9810856792142391,0.9999200324668185,0.9904125693123509,0.9904628785914984,0.9905028558405288,0.009497144159471255,0.009497144159471234,500163,40,9461,490742,9501
44,train_oof,temporal,0.13,0.9451151132561844,0.9725116665601228,0.9660172750772335,0.9794796394553474,0.965543693664898,0.9727018791264601,0.9946396673347833,0.9933224075388899,0.02787695263113672,0.03545851051422287,60416,2156,1284,61288,3440
44,train_oof,cwt,0.5399999999999999,0.9794550260808791,0.9896439301924184,0.9988602318614042,0.9804065716294829,0.9988812887553539,0.9895473755524729,0.9991737729885973,0.9988533255716391,0.007852097636808483,0.007323824531826616,62502,70,1226,61346,1296
